영업상태구분코드,소재지전체주소,사업장명,업태구분명
1,서울특별시 영등포구 대림동 1083-23번지 2층,우정빠,호프/통닭
1,"서울특별시 영등포구 문래동2가 49-1번지 1층, 2층",양키통닭,호프/통닭
1,서울특별시 영등포구 여의도동 11-11번지 한서리버파크 1층 101호,빈호프,호프/통닭
1,서울특별시 영등포구 여의도동 37 아일렉스,돈배옥,호프/통닭
1,서울특별시 영등포구 여의도동 35-2 지하5호,엠에이엠엠오에스,호프/통닭
1,서울특별시 영등포구 문래동2가 57-4번지 1층,엘아이디(LID),호프/통닭
1,서울특별시 영등포구 문래동2가 14-29 1층,비어포스트바,호프/통닭
1,서울특별시 영등포구 대림동 1078-1 2층,노다지 호프,호프/통닭
1,서울특별시 영등포구 대림동 881-1 1층,꿈에그린포장마차,호프/통닭
1,서울특별시 영등포구 대림동 929-5 지하1층,영아호프,호프/통닭
1,서울특별시 영등포구 여의도동 37 아일렉스 지하5호,네네치킨,통닭(치킨)
1,서울특별시 영등포구 여의도동 44-35번지 제일빌딩 1층 102호,투다리,호프/통닭
1,서울특별시 영등포구 대림동 864-12 1층,홍운커피호프,호프/통닭
1,서울특별시 영등포구 당산동3가 223-7 1층,맘스터치(영등포구청역점),호프/통닭
1,서울특별시 영등포구 대림동 808-26번지 지하1층,약속호프,호프/통닭
1,서울특별시 영등포구 신길동 875 1층,옛날통닭,호프/통닭
1,서울특별시 영등포구 대림동 713-6 1층,금정무오리점,호프/통닭
1,서울특별시 영등포구 당산동1가 306번지 1층 103호,제너시스비비큐 당산행운점,통닭(치킨)
1,서울특별시 영등포구 여의도동 45-5 메종리브르오피스텔,멕시칸치킨,통닭(치킨)
1,서울특별시 영등포구 도림동 821번지 영등포아트자이아파트 상가동 107호,땅땅치킨신도림점,호프/통닭
1,서울특별시 영등포구 대림동 1018-16 1층,장군뼈해장국,호프/통닭
1,서울특별시 영등포구 영등포동7가 145-8 아크로타워 스퀘어 상가7동 1층 2호,흐름이야,호프/통닭
1,서울특별시 영등포구 양평동4가 22-1 구산드림타워 103호,신명태꼴,통닭(치킨)
1,서울특별시 영등포구 대림동 1078-7번지 1층,달따라호프,호프/통닭
1,서울특별시 영등포구 대림동 743-9번지,페리카나,통닭(치킨)
1,서울특별시 영등포구 당산동3가 228-3번지 3층,롤링펍앤다트,호프/통닭
1,서울특별시 영등포구 도림동 156-42번지 1층 6호,파트너,호프/통닭
1,서울특별시 영등포구 신길동 103-1번지 홍성빌딩1층,치킨마루,통닭(치킨)
1,서울특별시 영등포구 신길동 445-11 지하1층,신원호프,호프/통닭
1,서울특별시 영등포구 여의도동 44-35번지 제일빌딩 2층 203호,에르메스,호프/통닭
1,서울특별시 영등포구 영등포동3가 13번지 1층,마씨네한국밥(영등포점),호프/통닭
1,서울특별시 영등포구 대림동 993-25 1층,포차스타일,호프/통닭
1,서울특별시 영등포구 신길동 362-22번지 지상1층,바비큐보스치킨,통닭(치킨)
1,서울특별시 영등포구 문래동6가 43 한신아파트,더리얼치킨(THE REAL CHICKEN) 문래본점,호프/통닭
1,서울특별시 영등포구 양평동4가 85-1번지 1층,생활맥주선유도점,호프/통닭
1,서울특별시 영등포구 신길동 477번지,어반 핫플레이스,호프/통닭
1,서울특별시 영등포구 신길동 355-632번지 1층,또순이,호프/통닭
